participant_number,ResponseId,has_conversation,conversation_id,UserID,MatchMethod,data_status,treatment,testscore,MessageCount,ConversationDurationMinutes,Session,start_time_unix
95,R_2XigCBgFKhjZpsZ,True,67486406-1674-8009-8962-1cf4e5beddc6,Generated_28112024_1337,PromptData,Recovered from promptdata,AI-assisted,9.0,2.0,0.0135520219802856,Session 1,1732770000.0
96,R_2VR8VDGEkYmej5R,False,,,,No conversation data,AI-guided,4.0,0.0,0.0,,
97,R_8hEzdaPefGaVhEK,True,674ede81-777c-8012-824a-284bd8fe1241,,Timestamp,Duplicate,AI-assisted,7.0,33.0,0.0,Unknown Session,1733192760.0
98,R_2bZQfsAIioKkGBZ,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
99,R_89ccd6xlVJmh8PV,True,674f1434-518c-800e-817a-ba555304ea7c,,Timestamp,Complete,AI-assisted,6.0,3.0,0.0,Unknown Session,1733203260.0
100,R_2GvtngzOCpqBPJ8,True,674da5d4-4be8-8008-8dad-c3881fa4cd6c,Generated_02122024_1319,PromptData,Recovered from promptdata,AI-assisted,8.0,13.0,6.487933568159739,Unknown Session,1733212380.0
101,R_8KwJcaR3CJk3APN,True,674efdb5-9978-8007-bbc0-abfc0b195656,Generated_03122024_1346,PromptData,Recovered from promptdata,AI-assisted,10.0,28.0,13.249606664975484,Unknown Session,1733216880.0
102,R_81nL4SVb2Nf89tX,True,674f1596-5170-8001-a641-2b53debd296a,,RecoveredData,Recovered,AI-assisted,8.0,0.0,0.0,Unknown Session,1733221500.0
103,R_8VliLrznxnYC9yl,True,67503181-87a0-8007-9e1d-5c2822502713,,Timestamp,Duplicate,AI-assisted,9.0,11.0,0.0,Unknown Session,1733279220.0
104,R_2LGzngH02SW1kO8,True,674da5a6-cecc-8012-88a0-2c75e7e618fe,,ExplicitID,Complete,AI-assisted,7.0,36.0,0.0,Unknown Session,1733285460.0
105,R_8kG5nV6apJ2sJfH,True,675053ab-b4c8-800c-bd72-628e68ad281b,,Timestamp,Duplicate,AI-assisted,8.0,6.0,0.0,Unknown Session,1733290020.0
106,R_2yYqayPyPRba6ch,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
107,R_8U77vJOASXce58t,True,675040dc-e91c-8008-9786-ede500e1b96c,Generated_04122024_1245,PromptData,Recovered from promptdata,AI-assisted,7.0,8.0,8.245990399519602,Unknown Session,1733298960.0
108,R_8rDsBRl2L5BMCcx,True,67502bad-2a84-8013-810a-63e43d281ea1,Generated_04122024_1115,PromptData,Recovered from promptdata,AI-assisted,6.0,48.0,28.007654535770417,Unknown Session,1733303340.0
109,R_2PpcntDUipzDsdw,True,675050f1-8e74-8002-8d93-b7b3e14e2c48,Generated_04122024_1354,PromptData,Recovered from promptdata,AI-assisted,7.0,26.0,12.97387391726176,Unknown Session,1733307540.0
110,R_2z8Bt8QybFrHy8P,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
111,R_2jZdfnH3p9OYaBW,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
112,R_8EaKc1PPHEfa3BZ,True,67517f3b-39dc-8001-b00d-4aba7f609de4,Generated_05122024_1123,PromptData,Recovered from promptdata,AI-assisted,8.0,28.0,17.695872902870178,Unknown Session,1733390160.0
113,R_8IhOeYeqrVgfCVl,False,,AutoID_qrVgfCVl,,Missing conversation,Control,7.0,0.0,0.0,Session 1,1732762620.0
114,R_8D5KwPx5XPc9GYQ,True,6748609d-6294-8007-8fbf-e4d175374104,Generated_28112024_1322,PromptData,Recovered from promptdata,AI-assisted,9.0,56.0,18.78763081630071,Session 1,1732770000.0
115,R_2GddBaeyTfQjALo,True,674da633-b3d4-8012-ae50-723c2ee5dc26,,Timestamp,Duplicate,AI-guided,9.0,13.0,0.0,Unknown Session,1733112540.0
116,R_2WlEj9bv8fbg2Mp,True,674eed44-ec0c-8005-877d-d9f1169339b8,,Timestamp,Complete,AI-assisted,8.0,146.0,0.0,Unknown Session,1733192760.0
